# id | name | description | building | exits
R1|Chemistry Lab|The air is thick with a sharp smell of chemicals. Pieces of glass appear to be on the floor. The lights are flickering. Some drawers of equipment are open, and tools are chaotically scattered.|H Building|R17,R19
R2|Janitor's closet|A cramped supply room with cleaning chemicals and biohazard bags. Mops lean against the walls in a bucket of bleach. Brooms hanging on the wall. The janitor’s code is needed to bypass the locked door.|H Building|R15,R10
R3|Library Lobby|This lobby now stands as a frozen snapshot of a panic evacuation. Books, laptops, and backpacks were left behind as students evacuated. Paper is scattered across the floor. Emergency alerts still flash on screens, and an eerie silence fills the room.|Library|R9,R14,R11
R4|Student Lounge|Tables and chairs are left randomly placed, and some are tipped over. There are red flashing lights from the alarm system. There are pieces of shattered glass across the floor from the large windows that show the nature outside. There might be someone here.|E Building|R18,R6,R13
R5|Game room|Arcade machines continue running unattended. Chairs and gaming equipment are scattered across the room. A few gaming machines seemed to be damaged, and there were cracks on a few game screens.|E Building|R18,R13
R6|Campus Cafe|Low-volume music is still being played with glitches. Tables are scattered with abandoned drinks and bags. Food wrappers and trays are left across the seating area. Chairs are pushed back as if people left in a hurry. The café feels unusually quiet, considering its normally crowded atmosphere.|E Building|R8,R4
R7|Malfunctioning elevators|Elevators move unpredictably between floors. Some control panels appear damaged. The lights inside the elevator cars flicker on and off. One elevator door remains stuck partially open.|E Building|R12,R9
R8|The dining hall|Trays of food are scattered around, and some tables and chairs have been scattered. Some food remains behind the counters unserved. The kitchen area is abandoned, and the atmosphere smells of uneaten food.|E Building|R6,R18
R9|Computer classroom|Rows of computer monitors glow faintly in the dark. Some screens freeze while others flicker with static. Several chairs are overturned, and tangled cords hang loosely from the backs of desks. A projector hums softly overhead, projecting nothing but a blank white screen onto the wall. The air smells faintly of burnt plastic, and the quiet clicking of a single keyboard echoes.|Library|R12,R7,R3
R10|Bathroom|The fluorescent lights flicker overhead, casting uneven shadows across cracked mirrors and stained tile. Paper towels are scattered across the damp floor, and one stall door hangs slightly open. A faucet drips steadily into the sink, the sound echoing throughout the empty room. One mirror is scratched with faint markings that are difficult to make out. The air feels heavy and still.|H Building|R17,R2,R19
R11|Study room|Desks are arranged in neat rows, but notebooks lie open mid-sentence as if work was left unfinished. A laptop screen glows dimly on one table, frozen on a paused lecture slide. The whiteboard is covered in half-erased notes and circled equations. A backpack rests against the wall, partially unzipped. The room is quiet, but the silence feels unusually tense.|Library|R13,R6
R12|Server room|Tall server racks line up the walls; their indicator lights blinking softly in the dim space. The low hum of running equipment fills the room without pause. Cables run along the floor and ceiling. A warning light flashes silently on one monitor near the back wall. The air is warmer here.|Library|R20,R7,R9
R13|Meditation Room|A dark room with blackout curtains. The faint smell of incense fills the room. Several mats and pillows are scattered throughout the room. Students' personal belongings were also left behind in an unorganized pattern.|E Building|R5,R4
R14|Electric control room|A dimly lit room filled with several large power panels. The power panels flicker inconsistently. Loose and broken wires stick out of some of the panels. The lights flicker on and off throughout the campus, going completely off at times.|Library|R3
R15|Digital Media Lab|Students’ personal belongings are scattered across the room on the ground and on the desktops. The teacher’s teaching materials are also scattered around the podium. Several computers are damaged and left unorganized as students appear to have rushed out.|H Building|R16,R2
R16|Chemistry Lab 2|Pieces of broken glass and paper are scattered across the floor. Lab tools are left unorganized on the tables. Drawers and cabinets are left open throughout the lab. You can hear the fume hood working.|H Building|R15,R17
R17|The office feels cramped, with papers scattered and shelves half-emptied. A faint chemical odor mixes with old books. The computer screen is frozen on unfinished notes. The locked door suggests the professor left hurriedly and never returned.|H Building|R16,R10,R1
R18|Kitchen|The kitchen feels too silent, and the cooking equipment is left as if no one is using it. Pots and electric utensils are left on the counter and floor. A faint burnt smell can be sensed. It feels as though something is about to come out from somewhere.|E Building|R8,R4,R5
R19|Health Lab|Medical equipment is located throughout the room, some of which are still blinking with warnings. Patient charts are open on the treatment tables, preserving traces from the clinical emergency behind. Unlocked cabinets with leftover items hanging inside. The overall feeling is as if everything just happened at this moment.|H Building|R1,R10,R20
R20|Parking Lot|Multiple abandoned cars were scattered in the parking lot, most of their doors wide open. The wind whistles between them, creating an unsettling quietness. In the distance, you can see your car parked by the exit gate. You could have escaped already if it weren’t for the cure you need to complete to leave this cursed place.|Parking Lot|R19,R12
